Policy Date,Repo,Change,Type,CPI,CPI_Change,Expected,Pre_Return,Day_Before_Return,Same_Day_Return,Post_Return,Month_Advance_Return,Surprise,Average_pre,Average post,Average day before,Average same day,Average Month
2016-07-09,6.5,0.0,Cut,131.1,1.0,Hike,-0.0006999999999999992,-0.0018,0.0,0.0288,0.0376,Yes,-0.0006999999999999992,0.0288,-0.0018,0.0,0.0376
2016-10-01,6.5,0.0,Cut,131.4,0.5,Hike,-0.025,0.0023,0.0,0.0115,0.009999999999999998,Yes,-0.025,0.0115,0.0023,0.0,0.009999999999999998
2016-10-04,6.25,-0.25,Cut,131.4,0.5,Hike,-0.0006000000000000016,0.0147,0.0036,-0.008199999999999999,-0.006500000000000002,Yes,-0.0006000000000000016,-0.008199999999999999,0.0147,0.0036,-0.006500000000000002
2017-01-07,6.25,0.0,Cut,130.3,-0.09999999999999432,Cut,0.007200000000000001,-0.0036,0.0,0.0198,0.0475,No,0.007200000000000001,0.0198,-0.0036,0.0,0.0475
2017-04-06,6.25,0.0,Cut,131.1,0.19999999999998863,Hike,0.01,0.003,-0.0003,-0.002599999999999999,0.0099,Yes,0.01,-0.002599999999999999,0.003,-0.0003,0.0099
2017-06-24,6.25,0.0,Cut,132.0,0.5999999999999943,Hike,-0.001400000000000001,-0.0057,0.0,-0.007299999999999999,0.0323,Yes,-0.001400000000000001,-0.007299999999999999,-0.0057,0.0,0.0323
2017-08-02,6.0,-0.25,Cut,135.4,1.200000000000017,Hike,0.0094,0.0037,-0.0033,-0.0023,-0.031400000000000004,Yes,0.0094,-0.0023,0.0037,-0.0033,-0.031400000000000004
2017-10-14,6.0,0.0,Cut,136.1,0.9000000000000057,Hike,0.0187,0.007,0.0,-0.002,0.027899999999999994,Yes,0.0187,-0.002,0.007,0.0,0.027899999999999994
2018-06-06,6.25,0.25,Hike,138.5,0.6999999999999886,Hike,-0.0133,-0.0033,0.0086,0.0095,0.007899999999999997,No,-0.0133,0.0095,-0.0033,0.0086,0.007899999999999997
2018-08-01,6.5,0.25,Hike,140.4,0.5999999999999943,Hike,0.016900000000000002,0.0033,-0.0009,0.0037,0.019799999999999998,No,0.016900000000000002,0.0037,0.0033,-0.0009,0.019799999999999998
